AccountID,FirstName,LastName,SSN,Email,DateOfBirth,MailingAddress,AccountType,RiskTolerance,IncomeBracket,EmploymentStatus,AccountOpenedDate,PhoneNumber,ExtensionNumber
172394,FRANK,MORGAN,658-50-9715,michaelandrews@example.net,1947-03-14,"0851 Lane Extensions, Lake Staceyhaven, IL 61151",401(K),MEDIUM,100K-250K,UNEMPLOYED,2020-09-29,0012416098917,75602
041672,LEON,DANIELS,753-56-6687,carriemedina@example.net,1976-04-09,"5248 Jones Harbor, Jessicaview, VT 04869",CUSTODIAL,MEDIUM,100K-250K,STUDENT,2023-03-24,5216800161,7640
616641,MARK,DEAN,895-26-3932,janegill@example.com,1983-06-25,"0051 Ward Walks, Port Lisahaven, SD 13713",BROKERAGE,LOW,250K+,SELF-EMPLOYED,2024-02-10,3102759654,34248
532263,TINA,JONES,667-68-8171,velasquezchristy@example.com,2004-06-27,"582 Taylor Manor, South Linda, SD 73832",ROTH IRA,HIGH,<50K,STUDENT,2023-05-29,,
555088,DANIELLE,BELL,550-68-6893,psanchez@example.org,1971-06-14,"279 Moore Radial Suite 947, North Yvonne, MS 72250",TRUST,HIGH,250K+,STUDENT,2021-06-04,+18459034861,071
889753,JEFFREY,FORD,507-72-9763,pthomas@example.net,1963-04-21,"537 Farmer Canyon Suite 587, South Julie, PR 08788",401(K),LOW,100K-250K,RETIRED,2022-06-19,7615587443,
155174,JASMINE,RICHARD,521-10-1935,smithmatthew@example.net,1952-03-21,"8856 Heather Stravenue Apt. 134, Ramosborough, UT 00643",JOINT,LOW,<50K,STUDENT,2022-04-06,5704058031,
813972,ASHLEE,BELL,511-17-0412,ryanwilliams@example.net,1973-04-14,"704 Ashley Heights, Stricklandhaven, AS 35111",BROKERAGE,LOW,50K-100K,SELF-EMPLOYED,2021-01-25,5656784327,
325012,FRANK,GALLOWAY,514-49-9723,william77@example.org,1995-10-15,"08913 Jermaine Camp, Reginaside, MH 17813",JOINT,HIGH,<50K,EMPLOYED,2021-08-25,0015983710221,812
629973,EMILY,ROSS,424-48-0126,stevenrussell@example.com,1965-11-24,"74645 Duane Prairie Apt. 527, Heatherhaven, CT 45862",JOINT,LOW,250K+,UNEMPLOYED,2024-12-14,2709555823,0356
541261,PATRICK,HERNANDEZ,200-56-1848,heathergriffin@example.org,1949-11-16,"530 Arnold Ville, Randallmouth, MO 40502",BROKERAGE,LOW,100K-250K,SELF-EMPLOYED,2022-09-26,9886479233,834
365934,BRANDON,MILLS,107-51-9160,ghall@example.net,2003-07-09,"1100 Kim Junctions Apt. 796, Johnhaven, AL 28967",401(K),LOW,250K+,SELF-EMPLOYED,2022-06-28,4482488748,
425601,MARIA,GONZALEZ,417-06-1026,wilsonjay@example.net,1976-10-20,"515 Salinas Highway Suite 863, West Gregory, TX 38114",TRUST,MEDIUM,<50K,SELF-EMPLOYED,2024-11-19,2437446792,
984712,TARA,MCCOY,746-48-0749,thompsonvanessa@example.net,1987-08-14,"594 Palmer Drive, Wesleytown, OR 31019",ROTH IRA,HIGH,100K-250K,SELF-EMPLOYED,2022-01-27,2807321946,
763325,EMILY,HART,229-38-0638,dwayneschwartz@example.net,1992-09-13,"646 Heather Squares Suite 385, Sandovalbury, KS 85186",ROTH IRA,LOW,50K-100K,STUDENT,2021-12-22,2689234818,09750
556910,JESSICA,ARELLANO,534-89-7717,farmernancy@example.net,1995-03-24,"227 Herrera Plain, Cindyland, OH 80860",ROTH IRA,MEDIUM,250K+,SELF-EMPLOYED,2022-02-26,6117154106,
993380,SHAWN,DRAKE,349-42-2137,sarah36@example.org,1991-02-04,"542 Miguel Avenue, New Royhaven, IL 27511",BROKERAGE,MEDIUM,50K-100K,EMPLOYED,2022-08-05,7747383723,
467740,FELICIA,SCOTT,553-97-6731,bwalker@example.org,1962-07-10,"14700 Stanley Ranch Apt. 644, Cynthiastad, SD 16777",TRUST,HIGH,50K-100K,EMPLOYED,2024-10-31,9596184983,6082
011033,DANIELLE,PEARSON,062-92-1847,mwells@example.com,1949-03-01,"61332 Jessica Rest, New Michael, AK 96421",BROKERAGE,HIGH,250K+,SELF-EMPLOYED,2021-03-21,6847231270,4781
