Account ID,First Name,Last Name,SSN,Email,Phone,Date of Birth,Mailing Address,Account Type,Risk Tolerance,Income Bracket,Employment Status,Account Opened Date
ACC-0416-72,Leon,Daniels,753-56-6687,carriemedina@example.net,521-680-0161x7640,9-Apr-1976,"5248 Jones Harbor, Jessicaview, VT 04869",Custodial,Medium,100k-250k,Student,24-Mar-2023
ACC-6166-41,Mark,Dean,895-26-3932,janegill@example.com,310-275-9654x34248,6/25/1983,"0051 Ward Walks, Port Lisahaven, SD 13713",Brokerage,Low,250k+,Self-employed,2/10/2024
ACC-5322-63,Tina,Jones,667-68-8171,velasquezchristy@example.com,N/A,27-Jun-2004,"582 Taylor Manor, South Linda, SD 73832",Roth IRA,High,<50K,Student,29-May-2023
ACC-5550-88,Danielle,Bell,550-68-6893,psanchez@example.org,+1-845-903-4861x071,6/14/1971,"279 Moore Radial Suite 947, North Yvonne, MS 72250",Trust,High,250k+,Student,6/4/2021
ACC-8897-53,Jeffrey,Ford,507-72-9763,pthomas@example.net,(761)558-7443,21-Apr-1963,"537 Farmer Canyon Suite 587, South Julie, PR 08788",401(k),Low,100k-250k,Retired,6/19/2022
ACC-1551-74,Jasmine,Richard,521-10-1935,smithmatthew@example.net,5704058031,21-Mar-1952,"8856 Heather Stravenue Apt. 134, Ramosborough, UT 00643",Joint,Low,<50k,Student,6-Apr-2022
ACC-8139-72,Ashlee,Bell,511-17-0412,ryanwilliams@example.net,565.678.4327,4/14/1973,"704 Ashley Heights, Stricklandhaven, AS 35111",Brokerage,Low,50k-100k,Self-employed,25-Jan-2021
ACC-3250-12,Frank,Galloway,514-49-9723,william77@example.org,001-598-371-0221x812,10/15/1995,"08913 Jermaine Camp, Reginaside, MH 17813",Joint,High,<50k,Employed,8/25/2021
ACC-6299-73,Emily,Ross,424-48-0126,stevenrussell@example.com,(270)955-5823x0356,24-Nov-1965,"74645 Duane Prairie Apt. 527, Heatherhaven, CT 45862",Joint,Low,250k+,Unemployed,14-Dec-2024
ACC-5412-61,Patrick,Hernandez,200-56-1848,heathergriffin@example.org,(988)647-9233x834,16-Nov-1949,"530 Arnold Ville, Randallmouth, MO 40502",Brokerage,Low,100K-250K,Self-employed,26-Sep-2022
ACC-3659-34,Brandon,Mills,107-51-9160,ghall@example.net,4482488748,9-Jul-2003,"1100 Kim Junctions Apt. 796, Johnhaven, AL 28967",401(k),Low,250k+,Self-employed,6/28/2022
ACC-4256-01,Maria,Gonzalez,417-06-1026,wilsonjay@example.net,(243)744-6792,20-Oct-1976,"515 Salinas Highway Suite 863, West Gregory, TX 38114",Trust,Medium,<50k,Self-employed,19-Nov-2024
ACC-9847-12,Tara,Mccoy,746-48-0749,thompsonvanessa@example.net,280.732.1946,8/14/1987,"594 Palmer Drive, Wesleytown, OR 31019",Roth IRA,High,100k-250k,Self-employed,27-Jan-2022
ACC-7633-25,Emily,Hart,229-38-0638,dwayneschwartz@example.net,268.923.4818x09750,9/13/1992,"646 Heather Squares Suite 385, Sandovalbury, KS 85186",Roth IRA,Low,50k-100k,Student,12/22/2021
ACC-5569-10,Jessica,Arellano,534-89-7717,farmernancy@example.net,611-715-4106,24-Mar-1995,"227 Herrera Plain, Cindyland, OH 80860",Roth IRA,Medium,250k+,Self-employed,26-Feb-2022
ACC-9933-80,Shawn,Drake,349-42-2137,sarah36@example.org,774-738-3723,4-Feb-1991,"542 Miguel Avenue, New Royhaven, IL 27511",Brokerage,Medium,50k-100k,Employed,5-Aug-2022
ACC-4677-40,Felicia,Scott,553-97-6731,bwalker@example.org,(959)618-4983x6082,10-Jul-1962,"14700 Stanley Ranch Apt. 644, Cynthiastad, SD 16777",Trust,High,50k-100k,Employed,10/31/2024
ACC-0110-33,Danielle,Pearson,062-92-1847,mwells@example.com,684-723-1270x4781,3/1/1949,"61332 Jessica Rest, New Michael, AK 96421",Brokerage,High,250k+,Self-employed,21-Mar-2021
