Name,Account ID,Transaction ID,Account Type,Asset,Ticker,Quantity,Trade Date,Settlement Date,Price Per Share,Currency,Status,Notes
Deborah ATKINSON,ACC-9187-98,92c60c80,Joint,Netflix,nflx,293,11/15/2021,11/16/2021,918.36usd,CAD,Completed,watchlist
theodore MALDONADO,ACC-5034-80,5c8b69e3,Joint,Netflix,Nflx,329,3/3/2025,3/4/2025,$199.4,CAD,Completed,
michael BENTLEY,ACC-6420-70,df6602af,Brokerage,Netflix,NFLX,ten,26-Jun-2025,27-Jun-2025,"4,662.80 USD",EUR,Completed,dividends reinvested
KATIE KIM,,08699d7c,Joint,BERKSHIRE HATHAWAY,BRK.A,747,11/5/2024,,"1,052.92 USD",EUR,Pending,pending
mr. michael HAYNES,ACC-0390-03,207d0a1a,Custodial,BERKSHIRE HATHAWAY,brk.a,N/A,8/7/2023,8-Aug-2023,N/A,USD,Completed,watchlist
rachel Richmond,ACC-3802-06,e24e1124,Roth IRA,NVIDIA CORPORATION,NVDA,885,4/12/2024,15-Apr-2024,$3652.9,EUR,Completed,watchlist
JEFFREY Ford,ACC-8897-53,22bc2842,401(k),Alphabet Inc.,googl,827,25-Jan-2024,26-Jan-2024,1458.56usd,USD,Completed,short-term
Gary Lynch,ACC-6213-57,369ca0bc,Custodial, MICROSOFT CORP ,Msft,511,1/4/2024,5-Jan-2024,$223.34,USD,Completed,dividends reinvested
john taylor,ACC-1996-88,b468410d,Roth IRA,APPLE INC.,AAPL,383,14-Nov-2024,,280.81,EUR,Pending,pending
rachel RICHMOND,ACC-3802-06,873a60de,Roth IRA, Tesla Inc. ,tsla,250,10/5/2022,,1767.75,EUR,Pending,pending
Hannah cantrell,ACC-4231-83,d1493683,Brokerage,"amazon.com, inc.",AMZN,137,10/3/2023,4-Oct-2023,"$3,244.21",CAD,Completed,short-term
ANTHONY flynn,ACC-2193-22,b1016cab,401(k),Alphabet Inc.,Googl,196,8-Jul-2025,9-Jul-2025,3057.22usd,CAD,Completed,watchlist
Jasmine RICHARD,ACC-1551-74,d4aa32dd,Joint,MICROSOFT CORP,Msft,674,5/8/2025,,"4,503.27 USD",CAD,Pending,pending
Frank galloway,ACC-3250-12,c1e2d207,Joint,TESLA INC.,tsla,176,17-Apr-2025,18-Apr-2025,N/A,EUR,Completed,short-term
Stephanie Chang,ACC-9574-77,18845004,Custodial,APPLE INC.,Aapl,957,2-Nov-2023,,3936.33,CAD,Pending,pending
Emily Hart,ACC-7633-25,9d2f247b,Roth IRA,Alphabet Inc.,googl,187,28-Jul-2022,29-Jul-2022,$3626.89,USD,Completed,auto-invest
FRANK marshall,ACC-7953-52,ce9184cd,Roth IRA,Meta Platforms,meta,257,7-Jun-2024,10-Jun-2024,N/A,USD,Completed,short-term
Emily hart,ACC-7633-25,d7cb87c1,Roth IRA,Meta Platforms,META,ten,20-Dec-2022,21-Dec-2022,4205.85,EUR,Completed,dividends reinvested
DANA BRADLEY,ACC-7465-53,5460beec,Brokerage,johnson & johnson,JNJ,5,8/17/2021,,"2,042.05 USD",USD,Pending,pending
leah larsen,ACC-0586-00,9c687f0b,Brokerage,MICROSOFT CORP,Msft,695,29-Mar-2024,4/1/2024,"$2,430.39",EUR,Completed,auto-invest
SAMUEL newton,ACC-7806-33,ca3eb19c,Roth IRA,Meta Platforms,meta,488,7/2/2024,3-Jul-2024,$4629.6,EUR,Completed,short-term
Brandon MILLS,ACC-3659-34,12fd19d4,401(k),alphabet inc.,googl,443,8-Sep-2023,9/11/2023,$441.04,USD,Completed,watchlist
Mrs. melissa Martinez Md,ACC-9435-86,1061b7e3,Roth IRA,Berkshire Hathaway,brk.a,750,4/4/2022,4/5/2022,$914.39,CAD,Completed,
RACHEL RICHMOND,ACC-3802-06,3419152b,Roth IRA,nvidia corporation,nvda,801,5/7/2024,8-May-2024,$4892.80,CAD,Completed,dividends reinvested
James POOLE,ACC-6303-65,be0763c5,Joint,Microsoft Corp,MSFT,222,24-Jul-2024,25-Jul-2024,N/A,USD,Completed,short-term
STEPHANIE BENNETT,ACC-4251-57,07b780b2,Brokerage,apple inc.,AAPL,488,9/12/2024,,N/A,USD,Pending,pending
FRANCISCO Miller,ACC-2320-61,1423f63c,Trust,johnson & johnson,Jnj,236,14-Jul-2025,15-Jul-2025,2108.58usd,EUR,Completed,
,ACC-6299-73,3b32187e,Joint,NVIDIA CORPORATION,Nvda,881,4-Feb-2025,2/5/2025,N/A,CAD,Completed,
Kathryn mccann,ACC-0455-31,6b444a0e,Joint,"amazon.com, inc.",amzn,871,13-Jan-2025,14-Jan-2025,N/A,CAD,Completed,dividends reinvested
Kyle miller,ACC-5203-81,5d5d83db,Roth IRA,apple inc.,AAPL,215,2/27/2025,28-Feb-2025,397.40usd,CAD,Completed,short-term
David beasley,ACC-7869-96,88fbe88f,Roth IRA,Netflix,nflx,ten,17-Dec-2024,18-Dec-2024,"1,339.36 USD",USD,Completed,watchlist
Brittany ROBERTS,,920a4072,Joint,NVIDIA CORPORATION,Nvda,85,22-Aug-2024,23-Aug-2024,3481.63usd,CAD,Completed,
CARLOS ALEXANDER,ACC-6263-52,b5aa964d,Roth IRA,nvidia corporation,NVDA,951,23-Mar-2021,24-Mar-2021,"$3,176.37",EUR,Completed,dividends reinvested
MRS. Melissa martinez Md,ACC-9435-86,7f7635be,Roth IRA,alphabet inc.,Googl,92,10/5/2022,6-Oct-2022,$177.5,CAD,Completed,
AMY johnson,ACC-7992-71,825abcf7,401(k),NETFLIX,nflx,ten,1/2/2024,1/3/2024,$2391.1,USD,Completed,dividends reinvested
EMILY Hart,ACC-7633-25,2a558344,Roth IRA,ALPHABET INC.,googl,635,21-Feb-2024,2/22/2024,$3753.7,USD,Completed,dividends reinvested
DEBORAH ATKINSON,ACC-9187-98,27076cad,Joint,microsoft corp,Msft,ten,10/14/2022,17-Oct-2022,329.24 USD,EUR,Completed,dividends reinvested
JENNIFER Clarke,ACC-4466-77,ce6c9991,Brokerage,NVIDIA CORPORATION,NVDA,675,20-Sep-2023,21-Sep-2023,"$2,702.09",EUR,Completed,dividends reinvested
gloria WILLIAMS,ACC-9041-81,4fc1c918,Brokerage,ALPHABET INC.,Googl,157,6/8/2022,9-Jun-2022,$1129.1,CAD,Completed,watchlist
frank MORGAN,ACC-1723-94,1117302c,401(k), MICROSOFT CORP ,msft,541,10/10/2024,10/11/2024,"4,443.37 USD",EUR,Completed,auto-invest
KIMBERLY MARTIN,ACC-4336-74,9b15b97b,401(k),Johnson & Johnson,Jnj,47,25-May-2023,,$1212.07,USD,Pending,pending
KAYLA stewart,ACC-0721-36,fee3548d,Roth IRA,microsoft corp,Msft,300,17-Jul-2025,18-Jul-2025,"$1,619.92",USD,Completed,watchlist
JESSICA arellano,ACC-5569-10,89e59553,Roth IRA,"AMAZON.COM, INC.",AMZN,4,11/25/2022,11/28/2022,"$1,271.24",USD,Completed,
dana bradley,ACC-7465-53,c2e329f5,Brokerage,meta platforms,META,325,5-Jun-2025,6/6/2025,2302.88,CAD,Completed,watchlist
jorge lane,ACC-5906-61,d84cc0bd,Roth IRA,microsoft corp,Msft,550,27-Sep-2023,28-Sep-2023,N/A,CAD,Completed,
HANNAH cantrell,ACC-4231-83,ed494e25,Brokerage,Berkshire Hathaway,Brk.A,N/A,4/1/2024,2-Apr-2024,$3053.2,CAD,Completed,
Stacy lee,ACC-1001-75,711187bf,Custodial,"AMAZON.COM, INC.",AMZN,589,4-Jun-2025,6/5/2025,"$2,511.03",USD,Completed,short-term
William winters,ACC-1317-26,6d698e43,Roth IRA,Tesla Inc.,Tsla,785,4/1/2025,2-Apr-2025,$639.5,EUR,Completed,dividends reinvested
JEFF MORROW,ACC-0934-49,c2f23cc8,Joint,META PLATFORMS,META,36,4/26/2023,4/27/2023,N/A,EUR,Completed,
Glen thomas,ACC-0608-88,f86bb1e2,Brokerage,ALPHABET INC.,GOOGL,666,19-Dec-2024,,3785.24,USD,Pending,pending
Sharon STEWART,ACC-4126-43,31bc8b63,Trust,Berkshire Hathaway,brk.a,749,3/17/2022,,3169.54usd,CAD,Pending,pending
Alejandra JIMENEZ,ACC-7815-65,74e4fb70,Brokerage,alphabet inc.,GOOGL,523,2/5/2025,6-Feb-2025,"3,220.32 USD",USD,Completed,
ashley Gallegos,ACC-5934-64,8f4dcc4a,401(k),"AMAZON.COM, INC.",AMZN,110,3-May-2023,5/4/2023,"$4,172.53",EUR,Completed,auto-invest
SYLVIA MCCOY,ACC-2107-50,e74235ad,401(k), Microsoft Corp ,msft,791,15-Jul-2025,7/16/2025,1328.71,EUR,Completed,watchlist
LAUREN miranda,ACC-6696-75,d019fcc8,Roth IRA,JOHNSON & JOHNSON,JNJ,304,8/1/2022,8/2/2022,$2668.8,USD,Completed,short-term
Jose THOMAS,ACC-8643-19,1c363504,Roth IRA,APPLE INC.,AAPL,590,9/11/2024,9/12/2024,$2247.4,CAD,Completed,watchlist
TARA mccoy,ACC-9847-12,4471e35b,Roth IRA,NVIDIA CORPORATION,NVDA,639,8-Sep-2023,11-Sep-2023,$3911.1,CAD,Completed,watchlist
yvette WHITE,ACC-5871-08,3de4c6f0,Custodial,APPLE INC.,AAPL,917,2-Jan-2025,,3035.37,EUR,Pending,pending
TINA Jones,ACC-5322-63,ec9b9bce,Roth IRA,Apple Inc.,aapl,181,29-Jan-2024,,$863.7,EUR,Pending,pending
donna SMITH,ACC-7622-09,98f44966,Joint,ALPHABET INC.,GOOGL,43,11/1/2024,4-Nov-2024,2765.95,EUR,Completed,watchlist
james Poole,ACC-6303-65,4d2761ee,Joint,ALPHABET INC.,Googl,375,21-Mar-2024,22-Mar-2024,1306.29usd,USD,Completed,short-term
amanda CARPENTER,ACC-1469-19,08aa771e,Custodial, JOHNSON & JOHNSON ,jnj,673,28-Jan-2025,29-Jan-2025,N/A,EUR,Completed,watchlist
donna Smith,ACC-7622-09,e48c7f55,Joint,Berkshire Hathaway,brk.,230,23-Apr-2024,4/24/2024,2745.57usd,EUR,Completed,auto-invest
thomas DOUGHERTY,ACC-7947-92,79bae703,401(k),tesla inc.,Tsla,344,20-May-2022,,$96.61,CAD,Pending,pending
Mr. LOGAN Johnson,ACC-9155-79,175ee61d,Brokerage,Berkshire Hathaway,BRK.A,777,9/30/2024,1-Oct-2024,4927.39,EUR,Completed,dividends reinvested
BRANDON MILLS,,ed8134f3,401(k),BERKSHIRE HATHAWAY,Brk.A,861,19-Jan-2024,22-Jan-2024,$4679.56,CAD,Completed,
jessica Arellano,ACC-5569-10,910d0ff7,Roth IRA,"amazon.com, inc.",amzn,997,5-Feb-2024,2/6/2024,4720.01,CAD,Completed,dividends reinvested
Matthew LEWIS,ACC-7883-59,6d8b64d4,Trust,Apple Inc.,AAPL,268,2-Dec-2024,,$163.70,USD,Pending,pending
Brian Garcia,ACC-3988-43,974f1e66,Trust,netflix,nflx,946,25-Sep-2024,26-Sep-2024,2593.22,USD,Completed,short-term
drew SALAZAR,ACC-1788-81,20a31ede,Joint,NVIDIA CORPORATION,nvda,773,6-Jul-2023,7/7/2023,"$3,318.06",EUR,Completed,watchlist
karen SHAFFER,ACC-4827-00,9cb19e2b,Brokerage,NETFLIX,Nflx,52,5/3/2024,6-May-2024,$368.8,USD,Completed,
JENNIFER King,ACC-5048-12,a16685cf,Roth IRA,ALPHABET INC.,GOOGL,128,13-Jul-2023,14-Jul-2023,112.96,USD,Completed,dividends reinvested
WALTER GUZMAN,ACC-4148-02,d152cb6a,401(k), Berkshire Hathaway ,Brk.A,515,11/25/2024,11/26/2024,N/A,USD,Completed,
Emily Ross,ACC-6299-73,357280d2,Joint,apple inc.,AAPL,555,4/15/2025,4/16/2025,$4890.9,USD,Completed,auto-invest
michael COLLINS,ACC-9950-12,4c7074d6,401(k), berkshire hathaway ,BRK.A,244,5/27/2025,,830.50 USD,USD,Pending,pending
CYNTHIA mills,ACC-8689-39,8b40a31f,Custodial,tesla inc.,TSLA,511,5-Feb-2024,6-Feb-2024,N/A,USD,Completed,short-term
DONNA Smith,ACC-3879-16,5552bd4e,Trust,"Amazon.Com, Inc.",Amzn,994,8-Oct-2024,10/9/2024,$4990.77,USD,Completed,watchlist
troy Guzman,ACC-1451-14,ab1cd720,Joint, Tesla Inc. ,Tsla,83,9/2/2021,9/3/2021,"$1,015.65",USD,Completed,short-term
ASHLEY GALLEGOS,ACC-5934-64,d5f7c630,401(k),ALPHABET INC.,GOOGL,526,12-Mar-2025,13-Mar-2025,"4,753.75 USD",EUR,Completed,dividends reinvested
JENNIFER Clarke,ACC-4466-77,46d465e8,Brokerage,tesla inc.,TSLA,470,6-Nov-2024,11/7/2024,$3160.46,CAD,Completed,auto-invest
DREW salazar,ACC-1788-81,6bfcc151,Joint,NETFLIX,NFLX,580,7/14/2022,15-Jul-2022,$1669.1,EUR,Completed,watchlist
William WINTERS,ACC-1317-26,333ba7c5,Roth IRA,Nvidia Corporation,Nvda,183,6/12/2025,6/13/2025,N/A,EUR,Completed,short-term
WENDY gilmore,ACC-8976-23,65d613f8,Brokerage,netflix,NFLX,783,27-Nov-2023,28-Nov-2023,439.26 USD,USD,Completed,auto-invest
JOHN taylor,ACC-1996-88,7867aaab,Roth IRA, meta platforms ,meta,196,2/18/2025,,2220.72,USD,Pending,pending
Sharon STEWART,ACC-4126-43,f1202175,Trust,nvidia corporation,nvda,753,15-Jul-2025,16-Jul-2025,3196.22,CAD,Completed,dividends reinvested
Jose THOMAS,ACC-8643-19,3886549b,Roth IRA,JOHNSON & JOHNSON,Jnj,961,7/17/2025,7/18/2025,$53.65,EUR,Completed,dividends reinvested
anthony Flynn,ACC-2193-22,64c9fe49,401(k),johnson & johnson,jnj,934,6/28/2024,,4259.76,EUR,Pending,pending
DANIELLE PEARSON,ACC-0110-33,96511519,Brokerage,microsoft corp,Msft,210,8/12/2024,13-Aug-2024,$2123.7,EUR,Completed,auto-invest
Michael collins,ACC-9950-12,854ea283,401(k),Microsoft Corp,msft,ten,4-Mar-2025,5-Mar-2025,3531.98,EUR,Completed,auto-invest
LATASHA SMITH,ACC-6745-42,2956c989,401(k),Alphabet Inc.,Googl,833,17-Nov-2023,,N/A,EUR,Pending,pending
mrs. melissa Martinez MD,ACC-9435-86,4ef43845,Roth IRA,Meta Platforms,meta,314,1-Sep-2022,,$805.91,CAD,Pending,pending
APRIL Terry,ACC-0599-67,a4d82e80,Brokerage,TESLA INC.,tsla,58,7/17/2025,18-Jul-2025,$3507.6,CAD,Completed,
Kimberly williams,ACC-7272-94,d779569c,Brokerage,META PLATFORMS,Meta,826,6-May-2024,5/7/2024,"3,811.53 USD",CAD,Completed,
,ACC-0721-36,417f1622,Roth IRA,Netflix,nflx,607,7/18/2025,7/18/2025,N/A,EUR,Completed,dividends reinvested
Tom PATTERSON,ACC-9529-50,1f8067b7,Joint,alphabet inc.,GOOGL,560,9/12/2024,13-Sep-2024,"4,017.00 USD",CAD,Completed,watchlist
latasha Smith,ACC-6745-42,07738aa5,401(k),"AMAZON.COM, INC.",AMZN,789,7/9/2025,,$2899.4,USD,Pending,pending
TINA Jones,ACC-5322-63,8b24f467,Roth IRA,Meta Platforms,meta,N/A,1/4/2024,1/5/2024,1952.09usd,CAD,Completed,dividends reinvested
frank galloway,ACC-3250-12,c528a192,Joint, NETFLIX ,nflx,926,9/28/2022,9/29/2022,$1940.1,EUR,Completed,watchlist
michael BENTLEY,ACC-6420-70,f11e22d8,Brokerage,"Amazon.Com, Inc.",Amzn,971,2/14/2024,15-Feb-2024,$3480.73,USD,Completed,short-term
Frank Galloway,ACC-3250-12,b3629491,Joint,Johnson & Johnson,Jnj,321,14-Jan-2022,18-Jan-2022,2853.62,EUR,Completed,
Beth KING,ACC-1594-91,0d3ba027,Trust,nvidia corporation,NVD,718,8/15/2024,16-Aug-2024,"$2,597.35",USD,Completed,
DONNA smith,ACC-3879-16,78583501,Trust,JOHNSON & JOHNSON,Jnj,N/A,4/21/2023,4/24/2023,2182.40,USD,Completed,watchlist
Lauren miranda,ACC-6696-75,17a6d641,Roth IRA,ALPHABET INC.,GOOGL,ten,31-Aug-2023,1-Sep-2023,N/A,CAD,Completed,
MARIA reynolds,ACC-9656-56,71f34ba5,Joint,meta platforms,META,123,6/20/2025,23-Jun-2025,N/A,USD,Completed,auto-invest
LAUREN MIRANDA,ACC-6696-75,55fae185,Roth IRA,tesla inc.,TSLA,676,12/13/2022,14-Dec-2022,$1474.4,EUR,Completed,auto-invest
ANNE martin,ACC-5831-13,3e6129a8,Brokerage,apple inc.,AAPL,298,17-Jul-2023,18-Jul-2023,"4,704.87 USD",USD,Completed,short-term
Sharon Stewart,ACC-4126-43,13567cdc,Trust,Johnson & Johnson,jnj,740,2/28/2022,3/1/2022,"2,172.05 USD",CAD,Completed,short-term
carolyn POWELL,ACC-7024-51,ce77607f,Trust,Tesla Inc.,TSLA,N/A,6/10/2025,6/11/2025,"$3,167.04",CAD,Completed,short-term
Christopher Esparza,ACC-9384-53,3e0d9768,Trust,"amazon.com, inc.",AMZN,845,9-Jul-2025,10-Jul-2025,$323.99,CAD,Completed,dividends reinvested
Juan MADDOX,ACC-5352-08,f022deb9,Trust, tesla inc. ,TSLA,39,6/23/2023,26-Jun-2023,$410.9,USD,Completed,dividends reinvested
WENDY gilmore,ACC-8976-23,88ffc4bd,Brokerage,TESLA INC.,TSLA,175,3/8/2024,3/11/2024,$808.41,CAD,Completed,auto-invest
EMILY Hart,ACC-7633-25,4a66cedd,Roth IRA,Apple Inc.,AAPL,971,26-Apr-2023,27-Apr-2023,$1132.12,EUR,Completed,dividends reinvested
Walter Guzman,ACC-4148-02,ab6aace8,401(k),TESLA INC.,TSLA,853,24-Feb-2025,25-Feb-2025,"$2,334.54",EUR,Completed,dividends reinvested
jennifer CALLAHAN,ACC-8248-29,a359c021,401(k),"amazon.com, inc.",amzn,168,7-Feb-2025,2/10/2025,N/A,CAD,Completed,
sylvia Mccoy,ACC-2107-50,76801452,401(k),Tesla Inc.,TSLA,746,7/11/2025,7/14/2025,2309.09usd,USD,Completed,short-term
EMILY Ross,ACC-6299-73,bdd2c2dd,Joint,ALPHABET INC.,Googl,216,14-May-2025,15-May-2025,2300.99,CAD,Completed,watchlist
,ACC-4677-40,e71c7344,Trust,META PLATFORMS,Meta,696,3/10/2025,11-Mar-2025,118.83usd,CAD,Completed,short-term
Benjamin CARRILLO,ACC-6858-35,60e262b9,Brokerage,META PLATFORMS,meta,212,6-May-2024,5/7/2024,3386.99usd,EUR,Completed,dividends reinvested
benjamin Wilson,ACC-5940-08,9ad488a3,Trust,Apple Inc.,aapl,283,29-Aug-2023,8/30/2023,"3,699.74 USD",USD,Completed,watchlist
sharon RUIZ,ACC-6066-04,426af15b,Roth IRA,netflix,NFL,647,17-Oct-2022,18-Oct-2022,"$3,779.56",CAD,Completed,auto-invest
STEVEN ORTEGA,ACC-6762-48,b81b37e3,Custodial,BERKSHIRE HATHAWAY,brk.a,N/A,15-Nov-2022,16-Nov-2022,"$4,659.76",EUR,Completed,short-term
mackenzie barrett,ACC-9031-08,f88b7ca9,Joint,JOHNSON & JOHNSON,Jnj,842,2-May-2025,5/5/2025,"4,166.79 USD",USD,Completed,watchlist
CARLOS ALEXANDER,ACC-6263-52,157ef61f,Roth IRA,"amazon.com, inc.",Amzn,285,5/5/2023,5/8/2023,"$2,862.24",EUR,Completed,
Rebecca ward DVM,ACC-6634-62,78b69138,Brokerage,Tesla Inc.,TSLA,958,8-Feb-2023,2/9/2023,"1,915.36 USD",USD,Completed,watchlist
Gloria Williams,ACC-9041-81,3a4041dd,Brokerage,nvidia corporation,Nvda,925,9/16/2022,9/19/2022,N/A,CAD,Completed,auto-invest
Stephanie Bennett,ACC-4251-57,c79000e3,Brokerage,TESLA INC.,TSLA,54,26-Apr-2024,4/29/2024,$2283.19,USD,Completed,
lauren Miranda,ACC-6696-75,3a1550f9,Roth IRA,apple inc.,Aapl,914,6-Sep-2024,,4773.24usd,EUR,Pending,pending
MICHAEL Collins,ACC-9950-12,6d6d47e9,401(k),ALPHABET INC.,googl,569,22-Nov-2024,11/25/2024,4634.11usd,CAD,Completed,auto-invest
STEPHANIE Bennett,ACC-4251-57,8077a358,Brokerage,alphabet inc.,googl,181,11/18/2024,19-Nov-2024,3141.01,USD,Completed,short-term
mark brown,ACC-1558-54,a9ccbd59,Brokerage,microsoft corp,MSFT,941,18-Feb-2025,2/19/2025,1776.82,CAD,Completed,
MARK brown,ACC-1558-54,3233c7c5,Brokerage,APPLE INC.,AAPL,931,23-Aug-2023,8/24/2023,$4716.47,EUR,Completed,short-term
JORGE LANE,ACC-5906-61,802d0a60,Roth IRA,johnson & johnson,JNJ,356,3/21/2024,,$2257.92,EUR,Pending,pending
Tina jones,ACC-5322-63,96f275e7,Roth IRA,TESLA INC.,tsla,876,4-Mar-2025,3/5/2025,2671.21,CAD,Completed,short-term
Juan Maddox,ACC-5352-08,f295a995,Trust,ALPHABET INC.,GOOGL,951,4/18/2023,19-Apr-2023,N/A,CAD,Completed,auto-invest
SEAN DANIEL,ACC-8266-21,ece522ab,Custodial,"AMAZON.COM, INC.",Amzn,244,6/10/2025,6/11/2025,$1767.1,USD,Completed,watchlist
SHANNON costa,ACC-1513-23,07c116a6,Custodial,Apple Inc.,Aapl,367,6/11/2025,,1222.04,CAD,Pending,pending
DANIELLE Pearson,ACC-0110-33,6c0c3626,Brokerage,microsoft corp,msf,169,6/13/2023,6/14/2023,$3256.59,EUR,Completed,dividends reinvested
Terry newton,ACC-7705-30,98f2cfb4,401(k),apple inc.,aapl,904,21-Nov-2024,22-Nov-2024,2404.59usd,CAD,Completed,
francisco MILLER,ACC-2320-61,3bdf4b1d,Trust,alphabet inc.,Googl,103,16-Feb-2022,17-Feb-2022,4708.39,USD,Completed,auto-invest
DREW salazar,ACC-1788-81,1a73545f,Joint,TESLA INC.,tsla,ten,29-Dec-2023,2-Jan-2024,3646.96usd,USD,Completed,
Donna Smith,ACC-3879-16,ee54209e,Trust,ALPHABET INC.,GOOGL,2,5/17/2024,5/20/2024,$1670.2,EUR,Completed,dividends reinvested
Jonathan Ramos,ACC-9586-98,efcb53a4,401(k),johnson & johnson,Jnj,484,5/1/2025,5/2/2025,380.01usd,USD,Completed,short-term
latasha smith,ACC-6745-42,9a669f57,401(k),ALPHABET INC.,goog,ten,5-Dec-2024,12/6/2024,N/A,CAD,Completed,short-term
SYLVIA MCCOY,ACC-2107-50,da9edde9,401(k),meta platforms,Meta,22,30-Jun-2025,1-Jul-2025,"$1,524.68",USD,Completed,watchlist
TINA JONES,ACC-5322-63,2d82cd56,Roth IRA,APPLE INC.,AAPL,ten,7/16/2024,7/17/2024,$1788.57,USD,Completed,watchlist
christine HANSON,ACC-5932-72,ff3f6f2f,Brokerage,APPLE INC.,Aapl,933,28-Feb-2025,3-Mar-2025,N/A,USD,Completed,dividends reinvested
,ACC-7024-51,e4ba00ac,Trust," amazon.com, inc. ",Amzn,136,5-Jul-2024,,$2656.45,USD,Pending,pending
BENJAMIN Carrillo,,cf4250e2,Brokerage,BERKSHIRE HATHAWAY,BRK.A,520,3-Nov-2023,11/6/2023,558.58,EUR,Completed,dividends reinvested
patrick HERNANDEZ,ACC-5412-61,e645d1da,Brokerage,APPLE INC.,aapl,320,6-Feb-2023,2/7/2023,693.27,USD,Completed,dividends reinvested
Jeremy Martin,ACC-5752-39,e1f48fc3,401(k),Microsoft Corp,msft,168,4/1/2025,2-Apr-2025,$4538.94,EUR,Completed,
REBECCA Ward DVM,ACC-6634-62,b34efc85,Brokerage,netflix,NFLX,684,3/18/2022,3/21/2022,$4619.7,USD,Completed,watchlist
JORGE Lane,ACC-5906-61,188b0676,Roth IRA,BERKSHIRE HATHAWAY,brk.a,357,5/12/2025,5/13/2025,2527.01usd,EUR,Completed,
,ACC-9277-26,cb9a0c13,Trust,meta platforms,META,499,4-Mar-2025,5-Mar-2025,1547.32usd,USD,Completed,dividends reinvested
leon DANIELS,ACC-0416-72,7164a5fe,Custodial,Microsoft Corp,Msft,749,12-Feb-2025,13-Feb-2025,$2759.1,EUR,Completed,short-term
ROBERT MORRISON,ACC-9277-26,788feafe,Trust,Netflix,Nflx,603,1/10/2024,1/11/2024,1624.39usd,USD,Completed,short-term
,ACC-6166-41,a0105929,Brokerage,Netflix,nflx,940,8-Oct-2024,9-Oct-2024,$3290.12,CAD,Completed,
SYLVIA mccoy,ACC-2107-50,1407a6b4,401(k),Netflix,NFLX,65,10-Jul-2025,11-Jul-2025,$4333.1,CAD,Completed,
TROY GUZMAN,ACC-1451-14,8bbbb76d,Joint,apple inc.,Aapl,830,11-Jan-2024,1/12/2024,4795.89,CAD,Completed,watchlist
DAVID BEASLEY,ACC-7869-96,39b8da91,Roth IRA,meta platforms,META,285,7/22/2024,23-Jul-2024,"$2,395.85",USD,Completed,
STACY lee,ACC-1001-75,2e55acb5,Custodial, Apple Inc. ,Aapl,540,23-Sep-2024,24-Sep-2024,1773.82usd,EUR,Completed,dividends reinvested
Lauren miranda,ACC-6696-75,0b75f0b5,Roth IRA,microsoft corp,MSFT,ten,1/4/2022,5-Jan-2022,$4284.4,USD,Completed,short-term
LATASHA smith,ACC-6745-42,f9070156,401(k),Microsoft Corp,msft,N/A,1/26/2024,,2284.28usd,USD,Pending,pending
Jeffrey ford,ACC-8897-53,e84bf368,401(k), johnson & johnson ,jnj,770,11/16/2022,,3036.19usd,USD,Pending,pending
ASHLEE BELL,ACC-8139-72,dd5d8fd5,Brokerage, microsoft corp ,MSFT,ten,8/22/2022,8/23/2022,$109.32,USD,Completed,auto-invest
brian Garcia,ACC-3988-43,bcb1f705,Trust,Meta Platforms,META,825,27-Jan-2025,,$3688.42,USD,Pending,pending
,ACC-4256-01,453ad16b,Trust,Netflix,Nflx,807,11-Feb-2025,,N/A,CAD,Pending,pending
ALEJANDRA jimenez,ACC-7815-65,786474b3,Brokerage,Meta Platforms,Meta,401,10-Jun-2022,6/13/2022,$1227.11,EUR,Completed,dividends reinvested
ROBERT HODGES,ACC-2514-34,250c57fc,Joint,MICROSOFT CORP,MSFT,583,16-May-2025,19-May-2025,$1834.89,CAD,Completed,auto-invest
LEON DANIELS,ACC-0416-72,7b4320f3,Custodial,NVIDIA CORPORATION,NVDA,91,26-Jun-2023,,$2971.2,EUR,Pending,pending
Kenneth HARTMAN,ACC-0980-93,ed8b0539,401(k),NVIDIA CORPORATION,NVDA,474,27-Nov-2023,,"4,664.83 USD",CAD,Pending,pending
SEAN Daniel,ACC-8266-21,49f13a26,Custodial, meta platforms ,meta,500,30-Jun-2025,1-Jul-2025,4016.29,CAD,Completed,short-term
STEPHANIE bennett,ACC-4251-57,ca475487,Brokerage,berkshire hathaway,BRK.A,169,4/10/2024,11-Apr-2024,$4306.7,CAD,Completed,
AMANDA CARPENTER,ACC-1469-19,85dcb010,Custodial,NVIDIA CORPORATION,NVDA,361,3/7/2023,3/8/2023,N/A,USD,Completed,watchlist
kenneth hartman,ACC-0980-93,344e9049,401(k)," Amazon.Com, Inc. ",AMZN,981,3/7/2025,3/10/2025,2837.85,USD,Completed,
SAMUEL Newton,ACC-7806-33,9e28ae72,Roth IRA,berkshire hathaway,BRK.A,580,23-Jul-2024,,"1,796.82 USD",CAD,Pending,pending
Beth King,ACC-1594-91,80ca1445,Trust,Johnson & Johnson,JNJ,579,11-Jun-2024,12-Jun-2024,628.37,USD,Completed,dividends reinvested
leon Daniels,ACC-0416-72,2cd0a6e9,Custodial,apple inc.,AAPL,763,7-Jul-2023,10-Jul-2023,4077.88,CAD,Completed,short-term
sharon ruiz,ACC-6066-04,d670e4b5,Roth IRA,NVIDIA CORPORATION,Nvda,77,10-Mar-2022,11-Mar-2022,"$1,269.77",USD,Completed,dividends reinvested
